Item Name,Item Details,Item Image,Item Currency Symbol,Item Final Price,Item Url
1800 Añejo Tequila 750ml,"1800 Añejo is a deep, luxurious tequila ideal for sipping.",https://cdn.shopify.com/s/files/1/2141/9909/products/1800Anejo_grande.jpg?v=1504274927,₱,"1,849.00",https://boozy.ph/collections/all/products/1800-anejo-750ml
1800 Reposado Tequila 750ml,1800 Reposado tequila is crafted using 8-12 year old 100% Weber Blue Agave and is matured in American and French Oak barrels.,https://cdn.shopify.com/s/files/1/2141/9909/products/1800_Reposado_grande.jpg?v=1504275065,₱,"1,199.00",https://boozy.ph/collections/all/products/1800-reposado-750ml
1800 Silver Tequila 750ml,"1800 Silver is a premium tequila with a smoother, more interesting flavor than other tequilas on the market.",https://cdn.shopify.com/s/files/1/2141/9909/products/1800_Silver_grande.jpg?v=1504275234,₱,"1,199.00",https://boozy.ph/collections/all/products/1800-silver-tequila-750ml
42 Below Vodka 700ml,Quadruple-distilled at 42 degrees below the equator in New Zealand - where the air is the purest on Earth - using non GM wheat and some of the world's cleanest water: hardly surprising it tastes so good.,https://cdn.shopify.com/s/files/1/2141/9909/products/42below_grande.jpg?v=1505709042,₱,799.00,https://boozy.ph/collections/all/products/42-below-vodka-700ml
Aberfeldy 12yo 700ml,"The classic 12 Year Old Aberfeldy single malt Scotch whisky, distilled in the Highlands. While the label sadly no longer features a red squirrel, it now comes with a rather handsome black and rose-gold colour palate to match the rich, malty flavour profile.",https://cdn.shopify.com/s/files/1/2141/9909/products/aberfedly12_grande.jpg?v=1505711567,₱,"2,499.00",https://boozy.ph/collections/all/products/aberfeldy-12yo-700ml
Absolut Blue 1L,"With 400 years of Swedish vodka making tradition behind it, Absolut Vodka is extremely smooth. Using pure Swedish water from the town of Ahus and wheat grown in the surrounding countryside, Absolut have maintained the tradition of pure and perfect Swedish Vodka.",https://cdn.shopify.com/s/files/1/2141/9909/products/Absolut_Blue_1L_grande.jpg?v=1500350434,₱,999.00,https://boozy.ph/collections/all/products/absolut-blue-1l
Absolut Blue 700ml,"Absolut Vodka is a Swedish vodka made exclusively from natural ingredients, and doesn’t contain any added sugar.",https://cdn.shopify.com/s/files/1/2141/9909/products/Absolut_Blue_1L_0775000c-93cf-478c-aed8-38dd38c44e29_grande.jpg?v=1500522782,₱,799.00,https://boozy.ph/collections/all/products/absolut-blue-700ml
Absolut Citron 700ml,"Absolut Citron is smooth and mellow, with a fresh fruity lemon and lime character and a note of lemon peel.",https://cdn.shopify.com/s/files/1/2141/9909/products/Absolut_Citron_grande.jpg?v=1500522904,₱,999.00,https://boozy.ph/collections/all/products/absolut-citron-700ml
Absolut Kurant 700ml,"Absolut Kurant is made from natural ingredients, no added sugar and the real taste of black currants.",https://cdn.shopify.com/s/files/1/2141/9909/products/Absolut_Kurant_grande.jpg?v=1500523016,₱,999.00,https://boozy.ph/collections/all/products/absolut-kurant-700ml
Absolut Mandarin 700ml,"The main ingredients in Absolut Mandrin are Absolut Vodka and orange, mandarin and citrus flavor.",https://cdn.shopify.com/s/files/1/2141/9909/products/absolut_mandarin_grande.jpg?v=1502353462,₱,999.00,https://boozy.ph/collections/all/products/absolut-mandarin-750ml
Absolut Mango 700ml,"Absolut Mango is really something new, a vodka with the flavor of ripe mango and tropical fruits.",https://cdn.shopify.com/s/files/1/2141/9909/products/Absolut_Mango_grande.jpg?v=1500523126,₱,949.00,https://boozy.ph/collections/all/products/absolut-mango-700ml
Absolut Raspberri 700ml,Absolut Raspberri is made with Absolut Vodka and natural raspberry flavor.,https://cdn.shopify.com/s/files/1/2141/9909/products/absolut_raspberri_grande.jpg?v=1502353724,₱,999.00,https://boozy.ph/collections/all/products/absolut-raspberri-750ml
Angostura Bitters 200ml,World famous Angostura® aromatic bitters remains the quintessential and definitive ingredient for classic and contemporary cocktails.,https://cdn.shopify.com/s/files/1/2141/9909/products/Angostura_Bitters_grande.jpg?v=1504274574,₱,849.00,https://boozy.ph/collections/all/products/angostura-bitters-200ml
Aperol 700ml,"Aperol is the perfect aperitif. Bright orange in color it has a unique bitter-sweet taste deriving from a secret recipe that has remained unchanged since its creation. An infusion of precious primary components, many herbs and roots in a perfectly balanced combination. Aperol’s strength is its low alcohol content, only 11%.",https://cdn.shopify.com/s/files/1/2141/9909/products/Aperol_grande.jpg?v=1505709689,₱,949.00,https://boozy.ph/collections/all/products/aperol-700ml
Aperol Spritz Cocktail Pack,Aperol Spritz Cocktail Recipe,https://cdn.shopify.com/s/files/1/2141/9909/products/Aperol_SPritz_Pack_2_grande.jpg?v=1509959942,₱,"1,499.00",https://boozy.ph/collections/all/products/aperol-spritz-cocktail-pack
Ardbeg 10yo 4.5L,"4.5 Liters of Jim Murray's 2008 World Whisky of the Year! When Ardbeg 10 was released it was the first expression from the distillery not to be chill-filtered. It's a true classic from Islay, and a must have for any fan of single malt whisky.  ",https://cdn.shopify.com/s/files/1/2141/9909/products/ardbeg6L_grande.jpg?v=1512436795,₱,"32,499.00",https://boozy.ph/collections/all/products/ardbeg-10yo-4-5l
Ardbeg 10yo 700ml,"Jim Murray's 2008 World Whisky of the Year! When Ardbeg 10 was released it was the first expression from the distillery not to be chill-filtered. It's a true classic from Islay, and a must have for any fan of single malt whisky.",https://cdn.shopify.com/s/files/1/2141/9909/products/ardberg10_grande.jpg?v=1506067359,₱,"3,149.00",https://boozy.ph/collections/all/products/ardberg-10yo-700ml
Artic Vodka Green Apple 700ml,Green apple flavored Vodka.,https://cdn.shopify.com/s/files/1/2141/9909/products/Artic_Green_Apple_grande.jpg?v=1513217051,₱,549.00,https://boozy.ph/collections/all/products/artic-vodka-green-apple-700ml
Artic Vodka Strawberry 700ml,Strawberry flavored Vodka.,https://cdn.shopify.com/s/files/1/2141/9909/products/Artic_Strawberry_grande.jpg?v=1513217155,₱,549.00,https://boozy.ph/collections/all/products/artic-vodka-strawberry-700ml
Asahi 330ml,Asahi beer is brewed from quality ingredients and traditional brewing techniques.,https://cdn.shopify.com/s/files/1/2141/9909/products/Asahi_grande.jpg?v=1500339304,₱,99.00,https://boozy.ph/collections/all/products/asahi-330ml
