Category Name,Category Url
Apple,http://www.lazada.com.ph/shop-mobile-cables/apple/
Cherry Mobile,http://www.lazada.com.ph/shop-mobiles-tablets/cherry-mobile/
Asus,http://www.lazada.com.ph/shop-mobiles-tablets/asus/
Samsung,http://www.lazada.com.ph/shop-mobiles-tablets/samsung/
Starmobile,http://www.lazada.com.ph/shop-mobiles/starmobile/
Blackberry,http://www.lazada.com.ph/shop-mobiles/blackberry/
Elephone,http://www.lazada.com.ph/shop-mobiles/elephone/
Gionee,http://www.lazada.com.ph/shop-mobiles/gionee/
Sony,http://www.lazada.com.ph/shop-mobiles/sony/
LG,http://www.lazada.com.ph/shop-mobiles-tablets/lg/
Toshiba,http://www.lazada.com.ph/shop-usb-flash-drives/toshiba/
Dell,http://www.lazada.com.ph/shop-computer-accessories/dell/
Microsoft,http://www.lazada.com.ph/shop-laptops/microsoft/
Western Digital,http://www.lazada.com.ph/western-digital-store/
Transcend,http://www.lazada.com.ph/shop-external-hard-drives/transcend/
Logitech,http://www.lazada.com.ph/shop-keyboards/logitech/
Razer,http://www.lazada.com.ph/shop-computer-accessories/razer/
Kingston,http://www.lazada.com.ph/shop-usb-flash-drives/kingston/
A4tech,http://www.lazada.com.ph/shop-computer-mouse/a4tech/
VR Box,http://www.lazada.com.ph/shop-vr/vr-box/
