Category Came,Category Url
Enfant,http://www.lazada.com.ph/mother-baby/enfant/
Graco,http://www.lazada.com.ph/mother-baby/graco/
Luxxe,http://www.lazada.com.ph/shop-whitening-supplements/luxxe/
Gillette,http://www.lazada.com.ph/shop-mens-care/gillette/
Jovan,http://www.lazada.com.ph/shop-fragrances/jovan/
Revlon,http://www.lazada.com.ph/shop-makeup/revlon/
Olay,http://www.lazada.com.ph/shop-health-beauty/olay/
Shiseido,http://www.lazada.com.ph/shop-health-beauty/shiseido/
Maybelline,http://www.lazada.com.ph/shop-makeup/maybelline/
Rimmel London,http://www.lazada.com.ph/shop-makeup/rimmel-london/
Benetton,http://www.lazada.com.ph/shop-fragrances/benetton/
Colourpop,http://www.lazada.com.ph/shop-lipsticks/colourpop/
