sub_category_name_1,sub_category_url_1
Headphones & Headsets,https://www.lazada.com.ph/shop-audio-headphones
Live Sound & Stage Equipment,https://www.lazada.com.ph/shop-portable-audio-live-sound-stage
Microphones,https://www.lazada.com.ph/shop-portable-audio-microphones
MP3/MP4,https://www.lazada.com.ph/shop-mp3-players
PA Systems,https://www.lazada.com.ph/shop-pa-systems
Portable Players,https://www.lazada.com.ph/shop-mp3-players-ipods
Portable Speakers,https://www.lazada.com.ph/shop-portable-speakers-for-tv
Radio & CD players,https://www.lazada.com.ph/shop-portable-cd-players
Smart Speakers,https://www.lazada.com.ph/shop-smart-speakers
Voice Recorders,https://www.lazada.com.ph/shop-digital-voice-recorder
Bridge,https://www.lazada.com.ph/shop-bridge-cameras
Car Cameras,https://www.lazada.com.ph/shop-car-cameras
DSLR,https://www.lazada.com.ph/shop-dslr
Gadgets & Other Cameras,https://www.lazada.com.ph/shop-gadgets-other-cameras
Instant Camera,https://www.lazada.com.ph/shop-instant-digital-camera
Mirrorless,https://www.lazada.com.ph/shop-mirrorless
Optics,https://www.lazada.com.ph/shop-optics
Point & Shoot,https://www.lazada.com.ph/shop-point-shoot
Security Cameras & Systems,https://www.lazada.com.ph/shop-security-cameras
Video & Action Camcorder,https://www.lazada.com.ph/shop-video-action-camcorder
All-In-One Desktop,https://www.lazada.com.ph/shop-all-in-one-desktops
DIY Desktop,https://www.lazada.com.ph/shop-diy-desktops
Gaming Desktop,https://www.lazada.com.ph/shop-gaming-desktops
Drones,https://www.lazada.com.ph/shop-drones
Drones Accessories,https://www.lazada.com.ph/shop-drone-accessories
Amplifiers & Receivers,https://www.lazada.com.ph/shop-home-audio-amplifiers-av-receivers
Center Speakers,https://www.lazada.com.ph/shop-center-channel-speakers-home-theater
Floor Speakers,https://www.lazada.com.ph/shop-floorstanding-speakers-home-theater
Hi-Fi Systems,https://www.lazada.com.ph/shop-hi-fi-systems
Home Audio Accessories,https://www.lazada.com.ph/shop-home-audio-accessories
Home Theater Systems,https://www.lazada.com.ph/shop-home-theater-systems
Karaoke Systems,https://www.lazada.com.ph/shop-karaoke-systems
Soundbars,https://www.lazada.com.ph/shop-soundbar-speakers-home-theater
Subwoofer Speakers,https://www.lazada.com.ph/shop-subwoofers-home-theater
Turntables,https://www.lazada.com.ph/shop-turntables-home-audio
2-in-1s Laptops,https://www.lazada.com.ph/shop-2in1-laptops
Chromebooks,https://www.lazada.com.ph/shop-chromebook
Gaming Laptops,https://www.lazada.com.ph/shop-gaming-laptops
Macbooks,https://www.lazada.com.ph/shop-macbook
Traditional Laptops,https://www.lazada.com.ph/shop-traditional-laptops
Landline Phones,https://www.lazada.com.ph/shop-landline-phones
Mobiles,https://www.lazada.com.ph/shop-mobiles
Business Printers,https://www.lazada.com.ph/shop-single-function-ink-jet
Dot Matrix Printers,https://www.lazada.com.ph/shop-single-function-dot-matrix
Inkjet Printers,https://www.lazada.com.ph/shop-multi-function-ink-jet
Inkjet Inks,https://www.lazada.com.ph/shop-inkjet-inks
Label Printers,https://www.lazada.com.ph/shop-label-printer
Laser Jet Printers,https://www.lazada.com.ph/shop-multi-function-laser-jet
Laser Toners,https://www.lazada.com.ph/shop-laser-toner-ink
Photo Printers,https://www.lazada.com.ph/shop-single-function-laser-jet
Scanners,https://www.lazada.com.ph/shop-computer-scanners
CRT Televisions,https://www.lazada.com.ph/shop-crt-televisions
LCD Televisions,https://www.lazada.com.ph/shop-lcd-televisions
LED Televisions,https://www.lazada.com.ph/shop-led-televisions
OLED Televisions,https://www.lazada.com.ph/shop-oled-tvs
Plasma Televisions,https://www.lazada.com.ph/shop-plasma-televisions
QLED Televisions,https://www.lazada.com.ph/shop-qled-televisions
Smart Televisions,https://www.lazada.com.ph/shop-smart-televisions
Batteries,https://www.lazada.com.ph/shop-camera-batteries
Battery Chargers,https://www.lazada.com.ph/shop-camera-battery-chargers
"Camera Cases, Covers and Bags",https://www.lazada.com.ph/shop-camera-bags
Flashes,https://www.lazada.com.ph/shop-flashes
Gimbals & Stabilizers,https://www.lazada.com.ph/shop-gimbals-stabilizer
Lenses,https://www.lazada.com.ph/shop-lenses
Lighting & Studio Equipment,https://www.lazada.com.ph/shop-lighting-studio-equipment
Memory Cards,https://www.lazada.com.ph/shop-camera-memory-card
Action Camera Accessories,https://www.lazada.com.ph/shop-sport-action-camera-accessories
Tripods & Monopods,https://www.lazada.com.ph/shop-tripods-monopods
Adapters & Cables,https://www.lazada.com.ph/shop-computer-laptop-adapters-cables
Batteries,https://www.lazada.com.ph/shop-computer-batteries
Drawing Tools,https://www.lazada.com.ph/shop-computer-drawing-tools
Mice,https://www.lazada.com.ph/shop-computer-mouse
Monitors,https://www.lazada.com.ph/shop-computer-monitors
Mousepads,https://www.lazada.com.ph/shop-mousepads
PC Audio,https://www.lazada.com.ph/shop-pc-audio
Power Cord & Adaptors,https://www.lazada.com.ph/shop-computer-adapters
Software,https://www.lazada.com.ph/shop-computer-software
Tablet Keyboards,https://www.lazada.com.ph/shop-tablet-keyboard
Desktop Casings,https://www.lazada.com.ph/shop-computer-cabinets
Desktop Front Bay Devices,https://www.lazada.com.ph/shop-internal-optical-drives
Fans & Heatsinks,https://www.lazada.com.ph/shop-computer-fans-heatsinks
Graphic Cards,https://www.lazada.com.ph/shop-graphic-cards
Motherboards,https://www.lazada.com.ph/shop-motherboards
PC Water Cooling System,https://www.lazada.com.ph/shop-water-cooling-system
Power Supply Units,https://www.lazada.com.ph/shop-computer-power-supply-units
Processors,https://www.lazada.com.ph/shop-computer-processors
RAM,https://www.lazada.com.ph/shop-ram
Sound Cards,https://www.lazada.com.ph/shop-computer-sound-cards
Batteries,https://www.lazada.com.ph/shop-chargers-batteries
Cables & Converters,https://www.lazada.com.ph/shop-mobile-cables
Car Mounts,https://www.lazada.com.ph/shop-car-mounts
Fashion Mobile Accessories,https://www.lazada.com.ph/shop-mobile-charms
Parts & Tools,https://www.lazada.com.ph/shop-mobiles-tablets-parts-tools
Phone Cases,https://www.lazada.com.ph/shop-phone-cases
Power Banks,https://www.lazada.com.ph/shop-power-bank
Prepaid Cards,https://www.lazada.com.ph/shop-pre-paid-cards
Screen Protectors,https://www.lazada.com.ph/shop-screen-protectors
Wall Chargers,https://www.lazada.com.ph/shop-wired-mobile-chargers
3D Glasses,https://www.lazada.com.ph/shop-3d-glasses
Antennas,https://www.lazada.com.ph/shop-antennas
