Category Name,Category Url
Accessories,https://www.lazada.com.ph/shop-womens-muslim-accessories
Bottoms,https://www.lazada.com.ph/shop-girls-clothing-bottoms
Dresses,https://www.lazada.com.ph/shop-dresses-girls
Hoodies,https://www.lazada.com.ph/shop-girls-hoodies-2
Jackets & Coats,https://www.lazada.com.ph/shop-jackets-coats-girls
Socks & Tights,https://www.lazada.com.ph/shop-girls-socks-tights
Swimsuits,https://www.lazada.com.ph/shop-girls-swimsuits
Tops,https://www.lazada.com.ph/shop-girls-shirt-tops
Underwear & Sleepwear,https://www.lazada.com.ph/shop-girls-underwear-sleepwear
Boots,https://www.lazada.com.ph/shop-girls-boots
Flats & Slip-Ons,https://www.lazada.com.ph/shop-girls-flats-slip-on-shoes
Flip Flops & Sandals,https://www.lazada.com.ph/shop-girls-flip-flops-slides-sandals
Formal Shoes,https://www.lazada.com.ph/shop-girls-formal-shoes
Sneakers,https://www.lazada.com.ph/shop-sneakers-girls
Shoes Accessories,https://www.lazada.com.ph/shop-shoes-accessories-girls
Belts,https://www.lazada.com.ph/shop-belts-girls
Gloves & Scarves,https://www.lazada.com.ph/shop-scarves-gloves-girls
Hats & Caps,https://www.lazada.com.ph/shop-caps-hats-girls
Hair Accessories,https://www.lazada.com.ph/shop-girls-hair-accories
Umbrellas & Rainwear,https://www.lazada.com.ph/shop-umbrellas-rainwear-girls
Backpacks,https://www.lazada.com.ph/shop-kids-backpacks
Backpacks Trolley,https://www.lazada.com.ph/shop-kids-backpack-trolleys
Bags,https://www.lazada.com.ph/shop-kids-shoulder-bags
Accessories,https://www.lazada.com.ph/shop-kids-accessories
Casual Tops,https://www.lazada.com.ph/shop-mens-casual-tops
Hoodies & Sweatshirts,https://www.lazada.com.ph/shop-mens-hoodies
Jackets & Coats,https://www.lazada.com.ph/shop-mens-jackets-coats
Jeans,https://www.lazada.com.ph/shop-mens-jeans
Pants,https://www.lazada.com.ph/shop-mens-pants
Polo Shirts,https://www.lazada.com.ph/shop-mens-polo-shirts
